item,freq
柳公绰,3
林藻,3
张荐,3
杨於陵,3
潘孟阳,3
崔立之,3
范传正,3
张贾,3
张文规,3
张汇,3
陈通方,3
皇甫湜,3
卢拱,3
刘猛,3
叶季良,3
湛贲,3
周弘亮,3
张仲方,3
崔玄亮,3
符载,3
孙叔向,3
刘皂,3
林杰,3
蔡京,3
杨敬之,3
陈至,3
郑还古,3
朱昼,3
滕迈,3
李馀,3
白敏中,3
常楚老,3
平曾,3
魏扶,3
郑史,3
元晦,3
黄颇,3
刘绮庄,3
杨牢,3
潘纬,3
武瓘,3
李骘,3
张孜,3
赵鸿,3
李縠,3
颜萱,3
顾在镕,3
王涣,3
戴司颜,3
孙郃,3
李琪,3
卢频,3
郑良士,3
伍唐珪,3
陈光,3
捧剑仆,3
黄巢,3
罗衮,3
钟谟,3
王感化,3
冯涓,3
杨玢,3
詹琲,3
张立,3
王勣,3
苏广文,3
李舜弦,3
王韫秀,3
孙氏,3
程长文,3
崔莺莺,3
刘云,3
张琰,3
刘媛,3
刘瑶,3
廉氏,3
关盼盼,3
王福娘,3
徐月英,3
元淳,3
寒山,3
景云,3
法照,3
知玄,3
神颖,3
澹交,3
若虚,3
昙域,3
乾康,3
惟审,3
许宣平,3
李梦符,3
张白,3
眉娘,3
上元夫人,3
滕传胤,3
湘中蛟女,3
龙女,3
何光远,3
韦璜,3
西施,3
王轩,3
刘行敏,3
裴谞,3
徐昌图,3
李旦,2
李贤,2
孟昶,2
韩思复,2
刘晃,2
王晙,2
崔玄童,2
何鸾,2
蒋挺,2
源光裕,2
姜皎,2
姜晞,2
夏侯孜,2
张齐贤,2
郑善玉,2
胡雄,2
祝钦明,2
陈京,2
归登,2
杜羔,2
张昭,2
刘氏云,2
窦威,2
欧阳瑾,2
赵微明,2
梁献,2
顾朝阳,2
梁氏琼,2
吴烛,2
张修之,2
裴交泰,2
严识玄,2
张烜,2
王沈,2
柯崇,2
邹绍先,2
虞羽客,2
张炽,2
王训,2
李章,2
滕潜,2
王珪,2
杜正伦,2
崔信明,2
马周,2
张文恭,2
李敬玄,2
杨思玄,2
杜易简,2
赵谦光,2
魏元忠,2
李怀远,2
苏瑰,2
高正臣,2
高球,2
弓嗣初,2
长孙正隐,2
周彦晖,2
高峤,2
周思钧,2
崔日知,2
杨廉,2
张锡,2
解琬,2
萧嵩,2
陆坚,2
李適之,2
郑繇,2
苏晋,2
王光庭,2
裴耀卿,2
宋鼎,2
张宣明,2
蔡隐丘,2
张翚,2
谈戭,2
樊晃,2
邢巨,2
薛业,2
袁瓘,2
寇坦,2
李休烈,2
杨炎,2
苑咸,2
范朝,2
张巡,2
韦丹,2
萧昕,2
杨谏,2
赵良器,2
郭良,2
李收,2
屈同仙,2
豆卢复,2
芮挺章,2
陈季,2
王邕,2
李栖筠,2
徐浩,2
薛令之,2
袁傪,2
崔何,2
王纬,2
郭澹,2
令狐峘,2
苏源明,2
苏涣,2
韦建,2
殷寅,2
李岑2,2
于逖,2
韦迢,2
张濯,2
姚伦,2
张叔卿,2
郑丹,2
张建封,2
王武陵,2
张佐,2
阎济美,2
张少博,2
周渭,2
周存,2
黎逢,2
苗发,2
卫象,2
柳郴,2
郑概,2
范灯,2
樊珣,2
刘蕃,2
张松龄,2
刘长川,2
郑审,2
李幼卿,2
罗让,2
李愿,2
萧祜,2
王良士,2
颜粲,2
张正元,2
彭伉,2
崔枢,2
张嗣初,2
许康佐,2
武少仪,2
姚向,2
温会,2
李敬伯,2
郭遵,2
许稷,2
胡证,2
席夔,2
卢储,2
王炎,2
陈昌言,2
李宣远,2
陈翥,2
王播,2
宋济,2
于頔,2
吴武陵,2
封敖,2
杨虞卿,2
赵蕃,2
唐扶,2
侯冽,2
李播,2
滕倪,2
刘虚白,2
郭良骥,2
焦郁,2
柳泌,2
朱冲和,2
张光朝,2
裴潾,2
景审,2
杨汉公,2
何扶,2
刘郇伯,2
李景,2
张元宗,2
李肱,2
权审,2
张希复,2
崔铉,2
郑薰,2
丁棱,2
蒯希逸,2
戈牢,2
金厚载,2
王甚夷,2
谭铢,2
裴休,2
周墀,2
李景让,2
张固,2
杨知至,2
李善夷,2
卢溵,2
裴諴,2
于兴宗,2
崔澹,2
卢渥,2
徐商,2
高璩,2
高湘,2
裴虔馀,2
冯衮,2
温庭皓,2
王季文,2
司马都,2
刘邺,2
欧阳澥,2
童翰卿,2
崔璞,2
张祎,2
李搏,2
郑启,2
陆扆,2
薛昭纬,2
陆翱,2
裴廷裕,2
张道古,2
沈颜,2
许昼,2
裴谐,2
刘畋,2
赵光远,2
严郾,2
张友正,2
颜荛,2
刘赞,2
滕白,2
高力士,2
布燮,2
许鼎,2
李涛1,2
熊皦,2
高辇,2
刘洞,2
陈沆,2
萧彧,2
韩昭,2
张令问,2
徐光溥,2
幸夤逊,2
李宏皋,2
何仲举,2
伍彬,2
杨徽之,2
王正己,2
颜仁郁,2
王延彬,2
丘光庭,2
李茂复,2
卢注,2
胡幽贞,2
裴延,2
贺朝清,2
唐暄,2
韦鹏翼,2
张起,2
朱子真,2
安凤,2
宋雍,2
赵抟,2
张安石,2
唐怡,2
阎德隐,2
元凛,2
徐振,2
戴衢,2
谢邈,2
唐备,2
卢群玉,2
李士元,2
杨达,2
李叔卿,2
李宾,2
郑缙,2
伊梦昌,2
牛殳,2
吴象之,2
石召,2
蔡昆,2
石殷士,2
柴宿,2
孙頠,2
穆寂,2
郑蕡,2
李沛,2
严巨川,2
员南溟,2
钱众仲,2
吕敞,2
张随,2
卢尚书,2
任生,2
河北士人,2
洛中举子,2
织锦人,2
天宝宫人,2
花蕊夫人,2
张氏,2
王霞卿,2
窦梁宾,2
黄崇嘏,2
柳氏,2
李节度姬,2
鲍家四弦,2
崔公远,2
葛鸦儿,2
张瑛,2
越溪杨女,2
常浩,2
杨莱儿,2
法宣,2
慧偘,2
怀素,2
大易,2
释泚,2
元孚,2
应物,2
僧鸾,2
怀楚,2
无则,2
栖一,2
无闷,2
怀浦,2
亚栖,2
尚能,2
陈寡言,2
徐灵府,2
程紫霄,2
舒道纪,2
韩湘,2
钟离权,2
殷七七,2
谭峭,2
许碏,2
酒肆布衣,2
李公佐仆,2
许学士,2
紫微孙处士,2
方壶居士,2
刘道昌,2
李太玄,2
洛川仙女,2
织女,2
嵩山女,2
王仙仙,2
虎丘石壁鬼,2
富春沙际鬼,2
庞德公,2
唐晅,2
张太华,2
韦检,2
故台城妓,2
无名鬼,2
严含质,2
裴略,2
张保胤,2
李涛,2
李晔,2
王衍,2
崔致远,2
庄翱,2
陆翚,2
何元,2
斐公衍,2
路半千,2
李晔1,1
长孙氏,1
杨玉环,1
江妃,1
李元嘉,1
李贞,1
